,iterations,learning_rate,max_depth,rsm,subsample,score
81,1000,0.005,7,0.6,1.0,0.604773942986613
82,1000,0.005,7,1.0,0.6,0.6066978975195967
83,1000,0.005,7,1.0,1.0,0.6065228818327041
84,1000,0.01,3,0.6,0.6,0.6249784969983093
85,1000,0.01,3,0.6,1.0,0.6226687147608146
86,1000,0.01,3,1.0,0.6,0.6234507625758543
87,1000,0.01,3,1.0,1.0,0.623555235554449
88,1000,0.01,5,0.6,0.6,0.6393637058441647
89,1000,0.01,5,0.6,1.0,0.6383783950562748
90,1000,0.01,5,1.0,0.6,0.6399594108237147
91,1000,0.01,5,1.0,1.0,0.6416423828148916
92,1000,0.01,7,0.6,0.6,0.6404909274370196
93,1000,0.01,7,0.6,1.0,0.6434637506362225
94,1000,0.01,7,1.0,0.6,0.643094588257993
95,1000,0.01,7,1.0,1.0,0.6424403694529467
96,1000,0.02,3,0.6,0.6,0.6496084172859545
97,1000,0.02,3,0.6,1.0,0.6505560749950503
98,1000,0.02,3,1.0,0.6,0.6487614988551936
99,1000,0.02,3,1.0,1.0,0.6459879079588202
100,1000,0.02,5,0.6,0.6,0.667704778024676
101,1000,0.02,5,0.6,1.0,0.6632530305020927
102,1000,0.02,5,1.0,0.6,0.666824259636182
103,1000,0.02,5,1.0,1.0,0.6688022037415428
104,1000,0.02,7,0.6,0.6,0.6654823864737474
105,1000,0.02,7,0.6,1.0,0.6656656546116021
106,1000,0.02,7,1.0,0.6,0.6669161877204928
107,1000,0.02,7,1.0,1.0,0.6618671285682206
108,1000,0.05,3,0.6,0.6,0.6651413669615611
109,1000,0.05,3,0.6,1.0,0.6700484233823543
110,1000,0.05,3,1.0,0.6,0.6679560102475941
111,1000,0.05,3,1.0,1.0,0.666253214766659
112,1000,0.05,5,0.6,0.6,0.6831813694629196
113,1000,0.05,5,0.6,1.0,0.6718894199459264
114,1000,0.05,5,1.0,0.6,0.6782450069664628
115,1000,0.05,5,1.0,1.0,0.6815865712297219
116,1000,0.05,7,0.6,0.6,0.6754261247747757
117,1000,0.05,7,0.6,1.0,0.6762907347479941
118,1000,0.05,7,1.0,0.6,0.6662349630529681
119,1000,0.05,7,1.0,1.0,0.6672911178215551
